,stock,tradeDate,rets,factor
2321,300122.XSHE,2011-04-29,0,0.40919546696731074
2322,300124.XSHE,2011-04-29,1,0.40239437741615
2323,300142.XSHE,2011-04-29,0,0.3951535743863188
2324,300144.XSHE,2011-04-29,1,0.4336974499660602
2325,600011.XSHG,2011-04-29,0,0.39161747062722635
2326,600018.XSHG,2011-04-29,1,0.5670180095726279
2328,600176.XSHG,2011-04-29,1,0.4639358972325678
2329,600183.XSHG,2011-04-29,0,0.46500282161554535
2330,600332.XSHG,2011-04-29,0,0.4492052559538037
2333,600438.XSHG,2011-04-29,0,0.43789972448585274
2334,600570.XSHG,2011-04-29,1,0.4707379526439282
2335,600606.XSHG,2011-04-29,0,0.4531514507783062
2336,600655.XSHG,2011-04-29,0,0.44724832700394507
2338,600809.XSHG,2011-04-29,1,0.4498894520006115
2339,600886.XSHG,2011-04-29,0,0.483483100276794
2342,601808.XSHG,2011-04-29,1,0.4623300373071252
2343,601877.XSHG,2011-04-29,0,0.411953842991215
2344,601919.XSHG,2011-04-29,0,0.39083150882352485
2347,000708.XSHE,2011-04-29,1,0.47928504287416474
2348,000800.XSHE,2011-04-29,0,0.4209081517392179
2350,002049.XSHE,2011-04-29,1,0.47703501548296096
2351,002064.XSHE,2011-04-29,0,0.5469933580953202
2352,002129.XSHE,2011-04-29,0,0.44451278816444556
2353,002157.XSHE,2011-04-29,1,0.3687235757711927
2354,002371.XSHE,2011-04-29,0,0.4183036517257802
2355,002414.XSHE,2011-04-29,0,0.29649381952686527
2357,002466.XSHE,2011-04-29,0,0.40698671964353733
2360,600079.XSHG,2011-04-29,1,0.44781795681168857
2361,600132.XSHG,2011-04-29,0,0.4981860277829324
2362,600143.XSHG,2011-04-29,0,0.37403724429415397
2363,600150.XSHG,2011-04-29,1,0.4916316344850998
2364,600161.XSHG,2011-04-29,0,0.36489712310631506
2365,600426.XSHG,2011-04-29,0,0.3853514782392481
2366,600584.XSHG,2011-04-29,0,0.384856858329201
2367,600600.XSHG,2011-04-29,1,0.35247516306426496
2369,600763.XSHG,2011-04-29,1,0.43359329147295356
2370,600845.XSHG,2011-04-29,1,0.4220093608894823
2371,600848.XSHG,2011-04-29,0,0.43149952905976136
2374,601898.XSHG,2011-04-29,0,0.43487210696275264
2376,000002.XSHE,2011-05-31,1,0.5430115359834002
2377,000063.XSHE,2011-05-31,1,0.4439476687524093
2379,000069.XSHE,2011-05-31,1,0.5310797882710627
2380,000100.XSHE,2011-05-31,1,0.4504825117146109
2381,000157.XSHE,2011-05-31,1,0.447881188157547
2382,000301.XSHE,2011-05-31,0,0.4536376286293507
2383,000338.XSHE,2011-05-31,0,0.4143230321631811
2384,000425.XSHE,2011-05-31,1,0.3974442719206004
2385,000538.XSHE,2011-05-31,0,0.46466627915511916
2386,000568.XSHE,2011-05-31,0,0.5176159574421546
2387,000596.XSHE,2011-05-31,1,0.42297696811556906
2388,000625.XSHE,2011-05-31,0,0.47682158451818707
2389,000651.XSHE,2011-05-31,1,0.3969255573579643
2390,000661.XSHE,2011-05-31,0,0.48120923457505704
2392,000708.XSHE,2011-05-31,0,0.49707500472510524
2393,000725.XSHE,2011-05-31,1,0.5411180051669133
2394,000768.XSHE,2011-05-31,1,0.4171543089002318
2397,000786.XSHE,2011-05-31,1,0.4359734546460777
2398,000800.XSHE,2011-05-31,1,0.3780793608027064
2399,000858.XSHE,2011-05-31,1,0.4126095152598582
2400,000876.XSHE,2011-05-31,1,0.490948851913129
2401,000895.XSHE,2011-05-31,1,0.4333850509659938
2403,000963.XSHE,2011-05-31,0,0.37596499540007544
2405,002001.XSHE,2011-05-31,1,0.5181482358628621
2406,002007.XSHE,2011-05-31,0,0.28796624995484477
2407,002008.XSHE,2011-05-31,1,0.5062415474196221
2408,002024.XSHE,2011-05-31,1,0.39587503195344226
2410,002032.XSHE,2011-05-31,0,0.513454823334802
2411,002044.XSHE,2011-05-31,1,0.5321275331980343
2413,002050.XSHE,2011-05-31,0,0.48234231283479806
2414,002064.XSHE,2011-05-31,0,0.4758530181518525
2415,002120.XSHE,2011-05-31,0,0.5321275331980343
2418,002157.XSHE,2011-05-31,1,0.4765435511032267
2419,002179.XSHE,2011-05-31,1,0.4843018426229639
2420,002202.XSHE,2011-05-31,0,0.47591074303045794
2421,002230.XSHE,2011-05-31,1,0.4605667427377576
2422,002236.XSHE,2011-05-31,1,0.4818069827958682
2423,002241.XSHE,2011-05-31,1,0.4127247615274545
2424,002252.XSHE,2011-05-31,0,0.3237634610320639
2425,002271.XSHE,2011-05-31,1,0.44338105983291065
2426,002304.XSHE,2011-05-31,1,0.43116478940383085
2427,002311.XSHE,2011-05-31,1,0.4477646431840845
2428,002352.XSHE,2011-05-31,0,0.3524024679510376
2429,002371.XSHE,2011-05-31,0,0.4381548040394255
2430,002410.XSHE,2011-05-31,1,0.334161449611876
2431,002414.XSHE,2011-05-31,1,0.42599296755419536
2432,002415.XSHE,2011-05-31,1,0.4356804998694495
2434,002460.XSHE,2011-05-31,1,0.30771723234555975
2436,002475.XSHE,2011-05-31,1,0.37764970260199393
2437,002493.XSHE,2011-05-31,0,0.44110836052364055
2441,300003.XSHE,2011-05-31,0,0.37903110117457106
2443,300015.XSHE,2011-05-31,0,0.48081845989283173
2446,300122.XSHE,2011-05-31,0,0.3229338826111925
2447,300124.XSHE,2011-05-31,0,0.43371363821549813
2448,300142.XSHE,2011-05-31,0,0.425232245222467
2449,300144.XSHE,2011-05-31,0,0.461367355568192
2451,600009.XSHG,2011-05-31,0,0.4562455999200129
2452,600010.XSHG,2011-05-31,1,0.43317365821448056
2453,600011.XSHG,2011-05-31,0,0.3749492161942103
2456,600018.XSHG,2011-05-31,0,0.47741814908008684
2457,600019.XSHG,2011-05-31,0,0.4538847061806986
2458,600028.XSHG,2011-05-31,0,0.49762700695121387
2461,600031.XSHG,2011-05-31,1,0.4729457988954022
2463,600048.XSHG,2011-05-31,1,0.4752508051656779
2464,600050.XSHG,2011-05-31,0,0.5357705903125639
2466,600079.XSHG,2011-05-31,0,0.49776382859257107
2467,600085.XSHG,2011-05-31,1,0.4454948645611919
2468,600104.XSHG,2011-05-31,1,0.4199093931103187
2470,600111.XSHG,2011-05-31,0,0.5413174616634785
2471,600115.XSHG,2011-05-31,0,0.48070909918573795
2472,600132.XSHG,2011-05-31,1,0.45087429706600424
2473,600143.XSHG,2011-05-31,1,0.47151779968498375
2474,600150.XSHG,2011-05-31,1,0.4540465706440233
2475,600161.XSHG,2011-05-31,0,0.27799731087470136
2476,600176.XSHG,2011-05-31,1,0.5541560350912408
2477,600183.XSHG,2011-05-31,0,0.4741594657413205
2478,600196.XSHG,2011-05-31,0,0.4663841256663006
2479,600276.XSHG,2011-05-31,0,0.4601883098257321
2480,600309.XSHG,2011-05-31,1,0.4350640262296907
2481,600332.XSHG,2011-05-31,0,0.40825377174041255
2483,600352.XSHG,2011-05-31,0,0.4121397237703663
2484,600362.XSHG,2011-05-31,1,0.39492195135700875
2485,600383.XSHG,2011-05-31,1,0.4229724248205319
2486,600406.XSHG,2011-05-31,1,0.4652936017472632
2487,600426.XSHG,2011-05-31,1,0.37985024990253957
2488,600436.XSHG,2011-05-31,0,0.44671298380912916
2489,600438.XSHG,2011-05-31,0,0.42836237007076666
2490,600489.XSHG,2011-05-31,1,0.4973798254566125
2491,600519.XSHG,2011-05-31,0,0.5765689779948121
2492,600547.XSHG,2011-05-31,0,0.4716622183807869
2493,600570.XSHG,2011-05-31,1,0.5095806979205654
2494,600584.XSHG,2011-05-31,0,0.41411124859519627
2496,600588.XSHG,2011-05-31,0,0.37007562426821444
2497,600600.XSHG,2011-05-31,0,0.4357181646852836
2499,600655.XSHG,2011-05-31,0,0.4282615729763603
2500,600660.XSHG,2011-05-31,0,0.5829242548301828
2501,600690.XSHG,2011-05-31,1,0.3752251876845459
2502,600741.XSHG,2011-05-31,1,0.35278728315086527
2503,600745.XSHG,2011-05-31,0,0.407732924471256
2506,600795.XSHG,2011-05-31,0,0.415290421544805
2507,600809.XSHG,2011-05-31,0,0.4827808100754585
2509,600845.XSHG,2011-05-31,0,0.45280528067320225
2512,600886.XSHG,2011-05-31,0,0.34849530988564154
2513,600887.XSHG,2011-05-31,0,0.5133491176788408
2514,600893.XSHG,2011-05-31,1,0.37659524086338947
2515,600900.XSHG,2011-05-31,0,0.4288690512285997
2517,601006.XSHG,2011-05-31,0,0.5046702311024643
2519,601088.XSHG,2011-05-31,1,0.5536741448063335
2520,601111.XSHG,2011-05-31,0,0.4134011258105148
2524,601216.XSHG,2011-05-31,1,0.41431224892649465
2529,601390.XSHG,2011-05-31,0,0.4372728694092432
2533,601607.XSHG,2011-05-31,0,0.36740752513933794
2534,601618.XSHG,2011-05-31,0,0.5501659040279088
2536,601668.XSHG,2011-05-31,1,0.4882720735294858
2538,601766.XSHG,2011-05-31,1,0.38301277088255176
2540,601799.XSHG,2011-05-31,0,0.48583543193840795
2541,601808.XSHG,2011-05-31,0,0.5212929622094423
2543,601857.XSHG,2011-05-31,0,0.5411736259956567
2544,601877.XSHG,2011-05-31,0,0.4044737946879719
2545,601888.XSHG,2011-05-31,0,0.3427099370171595
2546,601898.XSHG,2011-05-31,0,0.36175376124062497
2547,601899.XSHG,2011-05-31,0,0.5039585017526762
2548,601919.XSHG,2011-05-31,0,0.40669102568967275
2549,601933.XSHG,2011-05-31,0,0.35671140858439104
2552,601989.XSHG,2011-05-31,1,0.4216282717157127
2555,000002.XSHE,2011-06-30,0,0.5092714603607487
2556,000063.XSHE,2011-06-30,0,0.49658201353665826
2558,000069.XSHE,2011-06-30,0,0.5358810669509092
2559,000100.XSHE,2011-06-30,0,0.5199712688850052
2560,000157.XSHE,2011-06-30,0,0.4792831632702888
2561,000301.XSHE,2011-06-30,0,0.4538131757362479
2562,000338.XSHE,2011-06-30,0,0.43880768054133484
2563,000425.XSHE,2011-06-30,0,0.4828763094455105
2564,000538.XSHE,2011-06-30,1,0.417076925652169
2565,000568.XSHE,2011-06-30,1,0.5352640553692811
2566,000596.XSHE,2011-06-30,1,0.484487570592626
2567,000625.XSHE,2011-06-30,0,0.4240493354003418
2568,000651.XSHE,2011-06-30,0,0.4049413215268953
2569,000661.XSHE,2011-06-30,0,0.40183980751269877
2571,000708.XSHE,2011-06-30,0,0.43415064138888854
2572,000725.XSHE,2011-06-30,0,0.5441717106994816
2573,000768.XSHE,2011-06-30,0,0.41969761447557624
2576,000786.XSHE,2011-06-30,0,0.4668608672794111
