,stock,tradeDate,rets,factor
2577,000800.XSHE,2011-06-30,0,0.42389902220095593
2578,000858.XSHE,2011-06-30,1,0.5125091676679705
2580,000895.XSHE,2011-06-30,1,0.33970690609091714
2582,000963.XSHE,2011-06-30,1,0.28953144601215747
2584,002001.XSHE,2011-06-30,0,0.5059902428628473
2585,002007.XSHE,2011-06-30,0,0.3247573919900756
2586,002008.XSHE,2011-06-30,0,0.4632813119803497
2587,002024.XSHE,2011-06-30,0,0.4511741279941568
2589,002032.XSHE,2011-06-30,0,0.490703613188445
2590,002044.XSHE,2011-06-30,1,0.5205257494627479
2591,002049.XSHE,2011-06-30,0,0.455485836092187
2592,002050.XSHE,2011-06-30,1,0.4574625791474808
2593,002064.XSHE,2011-06-30,0,0.41777903512111386
2595,002129.XSHE,2011-06-30,1,0.49008989089770066
2597,002157.XSHE,2011-06-30,0,0.4763927163067698
2598,002179.XSHE,2011-06-30,1,0.42636965880341343
2599,002202.XSHE,2011-06-30,0,0.40149275117617816
2600,002230.XSHE,2011-06-30,0,0.517980587904732
2601,002236.XSHE,2011-06-30,1,0.5144852381510258
2602,002241.XSHE,2011-06-30,1,0.437482969327365
2603,002252.XSHE,2011-06-30,1,0.44234996290782497
2604,002271.XSHE,2011-06-30,0,0.4191943460648937
2605,002304.XSHE,2011-06-30,1,0.4971015980087763
2606,002311.XSHE,2011-06-30,1,0.398531182915544
2608,002371.XSHE,2011-06-30,1,0.363694099212343
2609,002410.XSHE,2011-06-30,1,0.46596917529496545
2610,002414.XSHE,2011-06-30,1,0.42503110205443645
2611,002415.XSHE,2011-06-30,1,0.5070023576850429
2613,002460.XSHE,2011-06-30,1,0.3609580237634878
2615,002475.XSHE,2011-06-30,1,0.4094568154951472
2616,002493.XSHE,2011-06-30,0,0.386904353453494
2617,002555.XSHE,2011-06-30,1,0.48406337655339193
2623,300003.XSHE,2011-06-30,0,0.38588994212771127
2625,300015.XSHE,2011-06-30,1,0.41220053412407553
2628,300122.XSHE,2011-06-30,1,0.3191868847965092
2629,300124.XSHE,2011-06-30,1,0.40678579450290575
