index,stock,tradeDate,return,class,factor
20584,600872.XSHG,31/05/2018,-0.01754386,0,0.9999999
20585,600886.XSHG,31/05/2018,-0.03580902,0,1
20586,600887.XSHG,31/05/2018,-0.07975671,0,1
20587,600893.XSHG,31/05/2018,-0.06721342,0,1
20588,600900.XSHG,31/05/2018,-0.01889297,0,1
20593,601006.XSHG,31/05/2018,0.03213292,1,0.8031788
20595,601012.XSHG,31/05/2018,-0.30890269,0,1
20596,601021.XSHG,31/05/2018,-0.07324085,0,1
20598,601088.XSHG,31/05/2018,-0.02254902,0,1
20599,601100.XSHG,31/05/2018,-0.08385499,0,1
20601,601111.XSHG,31/05/2018,-0.19181818,0,1
20603,601155.XSHG,31/05/2018,0.08286713,1,1
20606,601186.XSHG,31/05/2018,-0.05997819,0,1
20609,601225.XSHG,31/05/2018,0.02111801,0,0.6983674
20611,601231.XSHG,31/05/2018,-0.11620187,0,1
20612,601238.XSHG,31/05/2018,-0.11101408,0,1
20617,601360.XSHG,31/05/2018,-0.15521777,0,1
20621,601600.XSHG,31/05/2018,-0.07913669,0,1
20623,601607.XSHG,31/05/2018,-0.09777274,0,1
20624,601618.XSHG,31/05/2018,-0.0951087,0,1
20626,601633.XSHG,31/05/2018,-0.10155535,0,1
20627,601668.XSHG,31/05/2018,-0.04501178,0,1
20628,601669.XSHG,31/05/2018,-0.06678082,0,1
20630,601766.XSHG,31/05/2018,-0.15938865,0,1
20632,601799.XSHG,31/05/2018,-0.02139129,0,0.9535803
20633,601800.XSHG,31/05/2018,-0.07096248,0,1
20634,601808.XSHG,31/05/2018,-0.08354304,0,1
20637,601857.XSHG,31/05/2018,-0.02595824,0,1
20638,601877.XSHG,31/05/2018,-0.1618006,0,1
20641,601888.XSHG,31/05/2018,-0.04052718,0,1
20642,601898.XSHG,31/05/2018,-0.01829268,0,0.9999862
20643,601899.XSHG,31/05/2018,-0.0129277,0,0.9999895
20645,601919.XSHG,31/05/2018,-0.19607843,0,1
20646,601933.XSHG,31/05/2018,-0.2066459,0,1
20648,601966.XSHG,31/05/2018,-0.10628493,0,1
20649,601985.XSHG,31/05/2018,-0.07679739,0,1
20651,601989.XSHG,31/05/2018,-0.11208791,0,1
20654,603019.XSHG,31/05/2018,0.01797603,0,0.9999932
20655,603160.XSHG,31/05/2018,-0.08977416,0,1
20656,603233.XSHG,31/05/2018,-0.04860659,0,0.7596171
20658,603260.XSHG,31/05/2018,-0.08017588,0,1
20659,603288.XSHG,31/05/2018,-0.01734721,0,1
20660,603338.XSHG,31/05/2018,-0.05844156,0,1
20661,603369.XSHG,31/05/2018,-0.03180662,0,0.662949
20664,603517.XSHG,31/05/2018,-0.11470282,0,1
20665,603658.XSHG,31/05/2018,0.08286277,1,1
20666,603659.XSHG,31/05/2018,0.11074409,1,1
20667,603799.XSHG,31/05/2018,-0.06745121,0,1
20668,603806.XSHG,31/05/2018,-0.22363316,0,1
20669,603833.XSHG,31/05/2018,-0.11048336,0,1
20671,603899.XSHG,31/05/2018,-0.01675458,0,0.701043
20673,603986.XSHG,31/05/2018,0.00064546,0,0.9493837
20674,603993.XSHG,31/05/2018,-0.10391543,0,1
20676,000002.XSHE,29/06/2018,-0.05203252,0,1
20677,000063.XSHE,29/06/2018,0.12049117,1,0.99999845
20678,000069.XSHE,29/06/2018,-0.0213836,0,0.9999981
20679,000100.XSHE,29/06/2018,0.03448276,0,0.99947494
20680,000157.XSHE,29/06/2018,0.01703163,0,1
20681,000338.XSHE,29/06/2018,0.00356318,0,1
20682,000425.XSHE,29/06/2018,0,0,0.99839324
20683,000538.XSHE,29/06/2018,-0.05469334,0,1
20684,000568.XSHE,29/06/2018,-0.07839211,0,1
20685,000625.XSHE,29/06/2018,-0.05463683,0,1
20686,000651.XSHE,29/06/2018,-0.06320255,0,1
20687,000725.XSHE,29/06/2018,0.06214689,1,0.9999987
20688,000768.XSHE,29/06/2018,0.06777494,1,1
20691,000858.XSHE,29/06/2018,-0.03290553,0,0.99789006
20692,000876.XSHE,29/06/2018,0.05323153,1,0.99989843
20693,000895.XSHE,29/06/2018,-0.04468005,0,0.99999976
20694,002007.XSHE,29/06/2018,0.04228856,1,0.6831125
20695,002024.XSHE,29/06/2018,-0.05439647,0,1
20697,002202.XSHE,29/06/2018,0.1028481,1,0.9999999
20698,002241.XSHE,29/06/2018,-0.05593719,0,0.9999784
20699,002304.XSHE,29/06/2018,-0.02469605,1,0.8896057
20700,002415.XSHE,29/06/2018,-0.06867762,0,0.99999976
20701,002594.XSHE,29/06/2018,-0.11409396,0,1
20703,600009.XSHG,29/06/2018,0.08633742,1,1
20707,600019.XSHG,29/06/2018,0.11553273,1,0.99999964
20708,600028.XSHG,29/06/2018,0.04160247,1,0.9998653
20709,600029.XSHG,29/06/2018,-0.14960819,0,1
20711,600031.XSHG,29/06/2018,0.03121516,1,0.5549172
20713,600048.XSHG,29/06/2018,-0.0057377,0,0.6644426
20714,600050.XSHG,29/06/2018,0.05894309,1,0.9999987
20715,600085.XSHG,29/06/2018,-0.04195011,0,0.9999956
20716,600104.XSHG,29/06/2018,-0.03869154,0,1
20719,600115.XSHG,29/06/2018,-0.10582919,0,1
20720,600196.XSHG,29/06/2018,-0.10606427,0,1
20721,600276.XSHG,29/06/2018,-0.09094509,0,1
20722,600309.XSHG,29/06/2018,0.1219727,1,1
20723,600352.XSHG,29/06/2018,-0.02259414,0,0.5317371
20724,600362.XSHG,29/06/2018,-0.01460042,0,1
20725,600383.XSHG,29/06/2018,-0.04901087,0,1
20726,600406.XSHG,29/06/2018,0.0056962,0,0.66208607
20727,600489.XSHG,29/06/2018,0.02492669,1,0.55254227
20728,600519.XSHG,29/06/2018,-0.00686299,0,0.64070034
20729,600547.XSHG,29/06/2018,0.02257525,0,0.5755254
20730,600585.XSHG,29/06/2018,0.15083632,1,1
20731,600588.XSHG,29/06/2018,0.05263158,1,0.9831407
20732,600660.XSHG,29/06/2018,-0.01944769,0,0.9999989
20733,600690.XSHG,29/06/2018,-0.10539979,0,1
20734,600741.XSHG,29/06/2018,0.02759367,1,0.9854894
20735,600795.XSHG,29/06/2018,0.09384303,1,1
20737,600887.XSHG,29/06/2018,-0.05232975,0,1
20738,600893.XSHG,29/06/2018,0.06765233,1,0.99992716
20739,600900.XSHG,29/06/2018,0.04337051,1,0.89333296
20741,601006.XSHG,29/06/2018,0.09013398,1,0.99019617
20743,601088.XSHG,29/06/2018,-0.03209629,0,0.9999958
20744,601111.XSHG,29/06/2018,-0.11621715,0,1
20747,601186.XSHG,29/06/2018,0.21369748,1,1
20755,601600.XSHG,29/06/2018,0.0078125,0,0.9998908
20757,601607.XSHG,29/06/2018,-0.01741253,0,1
20758,601618.XSHG,29/06/2018,0.07069106,1,0.99999905
20760,601633.XSHG,29/06/2018,-0.1089613,0,1
20761,601668.XSHG,29/06/2018,0.06227106,1,0.99250233
20762,601669.XSHG,29/06/2018,0.05783582,1,1
20764,601766.XSHG,29/06/2018,0.11157834,1,0.9955656
20766,601857.XSHG,29/06/2018,0.00259403,0,1
20767,601888.XSHG,29/06/2018,0.09035864,1,1
20768,601899.XSHG,29/06/2018,-0.01939058,0,1
20770,601933.XSHG,29/06/2018,0,0,0.90979064
20773,601989.XSHG,29/06/2018,0.04207921,1,1
20776,000333.XSHE,29/06/2018,-0.08828035,0,1
20777,000596.XSHE,29/06/2018,0.05507997,1,0.9969235
20778,000661.XSHE,29/06/2018,-0.09530083,0,1
20779,000703.XSHE,29/06/2018,0.09274194,1,0.99999976
20780,000786.XSHE,29/06/2018,0.10631409,1,1
20781,000938.XSHE,29/06/2018,0.07818938,1,0.6571188
20782,000963.XSHE,29/06/2018,-0.04041451,0,1
20783,001979.XSHE,29/06/2018,-0.0015748,1,0.50565076
20784,002001.XSHE,29/06/2018,-0.11656118,0,1
20785,002008.XSHE,29/06/2018,-0.09400263,0,1
20786,002027.XSHE,29/06/2018,0.107628,1,0.9999994
20787,002032.XSHE,29/06/2018,0.05048544,0,0.74407876
20788,002044.XSHE,29/06/2018,-0.13318584,0,1
20789,002050.XSHE,29/06/2018,-0.22015915,0,1
20790,002120.XSHE,29/06/2018,-0.10292177,0,1
20791,002179.XSHE,29/06/2018,0.07641026,1,1
20792,002230.XSHE,29/06/2018,-0.02057998,0,1
20793,002236.XSHE,29/06/2018,-0.16674058,0,1
20795,002271.XSHE,29/06/2018,0.01763668,0,0.5196131
20796,002311.XSHE,29/06/2018,-0.00947867,0,1
20797,002352.XSHE,29/06/2018,-0.03822222,0,0.76446825
20798,002410.XSHE,29/06/2018,-0.00829427,0,0.99994564
20799,002460.XSHE,29/06/2018,-0.04484189,0,1
20800,002475.XSHE,29/06/2018,0.04333588,1,0.9995894
20801,002493.XSHE,29/06/2018,0.12887597,1,1
20802,002555.XSHE,29/06/2018,-0.07291987,0,1
20803,002601.XSHE,29/06/2018,0.06728538,1,0.9999999
20806,002624.XSHE,29/06/2018,-0.09351822,0,1
20807,002714.XSHE,29/06/2018,0.09887443,1,1
20809,002841.XSHE,29/06/2018,0.10728328,1,1
20810,002916.XSHE,29/06/2018,0.02346087,1,0.8642121
20811,300003.XSHE,29/06/2018,-0.05916031,0,1
20812,300015.XSHE,29/06/2018,0.03499535,1,0.995096
20814,300059.XSHE,29/06/2018,0.01972686,0,0.8951413
20815,300122.XSHE,29/06/2018,-0.17293397,0,1
20816,300124.XSHE,29/06/2018,-0.18677636,0,1
20817,300142.XSHE,29/06/2018,0.07357357,1,1
20818,300144.XSHE,29/06/2018,0.09787234,1,1
20819,300347.XSHE,29/06/2018,-0.02990141,0,0.76855195
20820,300408.XSHE,29/06/2018,0.0306383,0,0.99989676
20821,300413.XSHE,29/06/2018,0.04243542,1,0.99053544
20822,300433.XSHE,29/06/2018,-0.08893709,0,1
20823,300498.XSHE,29/06/2018,0.06811989,1,0.9999994
20824,600011.XSHG,29/06/2018,0.18867925,1,1
20825,600018.XSHG,29/06/2018,0.01677852,0,0.67393136
20828,600176.XSHG,29/06/2018,0.08211144,1,0.94258505
20829,600183.XSHG,29/06/2018,0.13209607,1,1
20830,600332.XSHG,29/06/2018,-0.03314966,0,1
20831,600346.XSHG,29/06/2018,0.13301501,1,1
20832,600436.XSHG,29/06/2018,0.02876798,0,0.8389401
20833,600438.XSHG,29/06/2018,0.02608696,1,0.85001016
20834,600570.XSHG,29/06/2018,-0.03380548,0,1
20835,600606.XSHG,29/06/2018,0.02885609,0,0.7416613
20836,600655.XSHG,29/06/2018,-0.12910053,0,1
20837,600760.XSHG,29/06/2018,0.05493896,1,0.9999999
20838,600809.XSHG,29/06/2018,-0.0305295,0,1
20839,600886.XSHG,29/06/2018,0.07427785,1,0.9999603
20843,601012.XSHG,29/06/2018,-0.06111444,0,1
20844,601021.XSHG,29/06/2018,-0.03482729,0,1
20848,601155.XSHG,29/06/2018,-0.06845334,0,1
20851,601225.XSHG,29/06/2018,-0.02236496,0,0.9655348
20853,601238.XSHG,29/06/2018,-0.04578097,0,1
20854,601360.XSHG,29/06/2018,-0.07577855,0,1
20856,601800.XSHG,29/06/2018,0.21793722,1,1
20857,601808.XSHG,29/06/2018,-0.00419287,0,1
20859,601877.XSHG,29/06/2018,0.03584229,1,0.99990857
20862,601919.XSHG,29/06/2018,-0.08333333,0,1
20863,601985.XSHG,29/06/2018,0.03588496,1,0.9999999
20864,603019.XSHG,29/06/2018,0.088293,1,0.9922925
20865,603160.XSHG,29/06/2018,0.14389075,1,1
20867,603288.XSHG,29/06/2018,-0.03883759,0,1
20868,603799.XSHG,29/06/2018,-0.00430994,0,1
20869,603833.XSHG,29/06/2018,-0.11655864,0,1
20870,603986.XSHG,29/06/2018,0.0591596,1,1
20871,603993.XSHG,29/06/2018,-0.06836248,0,1
20874,000708.XSHE,29/06/2018,0.00985761,0,1
20875,000800.XSHE,29/06/2018,0.00405423,0,1
