,,PCT_CHG
2018-10-31,600741.SH,-22.533333333333328
2018-10-31,000066.SZ,-22.526636225266373
2019-09-30,002157.SZ,-22.512820512820518
2011-09-30,600585.SH,-22.48760703019378
2015-07-31,600143.SH,-22.483221476510064
2015-06-30,600118.SH,-22.48230811105063
2015-07-31,300014.SZ,-22.4789980688743
2018-12-28,000963.SZ,-22.472897743920317
2015-08-31,002120.SZ,-22.47129579004922
2020-09-30,000938.SZ,-22.469512195121943
2017-11-30,002120.SZ,-22.456140350877174
2015-12-31,601919.SH,-22.441960447119524
2016-01-29,601888.SH,-22.441409543078738
2018-06-29,600150.SH,-22.417934347477985
2021-07-30,000596.SZ,-22.384133611691027
2020-03-31,600703.SH,-22.312373225152136
2015-07-31,600019.SH,-22.31121281464532
2015-07-31,600011.SH,-22.30680636175081
2018-04-27,000703.SZ,-22.299115724721265
2015-06-30,600588.SH,-22.276808402507196
2021-03-31,600703.SH,-22.24448897795591
2020-03-31,000938.SZ,-22.23690004403347
2021-07-30,000876.SZ,-22.22222222222222
2016-01-29,600406.SH,-22.182254196642692
2013-06-28,600346.SH,-22.172619047619037
2018-08-31,600600.SH,-22.13457490944971
2015-06-30,600522.SH,-22.127601922419416
2015-10-30,000708.SZ,-22.126436781609193
2010-04-30,000651.SZ,-22.092198581560286
2018-10-31,002236.SZ,-22.07176709546377
2017-07-31,002007.SZ,-22.05479452054796
2015-05-29,601618.SH,-22.030825022665468
2012-11-30,600521.SH,-22.026431718061666
2013-06-28,600030.SH,-22.016936104695915
2018-07-31,002050.SZ,-22.015915119363395
2012-07-31,000338.SZ,-21.99393735264399
2010-11-30,600111.SH,-21.97511835296706
2010-04-30,600048.SH,-21.946543675245913
2021-07-30,600132.SH,-21.94493558979541
2013-06-28,600482.SH,-21.904761904761894
2015-07-31,600111.SH,-21.88533627342889
2011-01-31,002153.SZ,-21.87610619469027
2021-09-30,600893.SH,-21.871327849588717
2014-03-31,000938.SZ,-21.864406779661017
2010-06-30,000661.SZ,-21.858042109832855
2021-03-31,000625.SZ,-21.818181818181827
2011-12-30,600703.SH,-21.816881258941343
